[Wed Mar 25 20:40:30 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:31 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:32 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:33 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:34 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:35 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:36 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:37 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:38 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:39 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:40 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:41 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:42 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:43 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:44 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:45 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:46 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:47 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:48 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:49 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:50 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:51 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:52 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:53 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:54 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:57 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:57 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:57 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:58 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:59 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:41:00 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:41:01 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:41:04 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:41:04 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:41:05 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:41:07 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:41:07 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:41:08 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:41:11 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:41:11 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:41:12 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:41:13 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:41:14 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:41:15 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:42:01 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:43:01 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:44:01 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:45:01 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:46:01 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:47:01 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:48:01 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:49:01 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 21:36:26 2026] R1:5, R2:3, EMER:0 -> GREEN:1
[Wed Mar 25 21:36:27 2026] R1:5, R2:3, EMER:0 -> GREEN:1
[Wed Mar 25 21:36:28 2026] R1:5, R2:3, EMER:0 -> GREEN:1
[Wed Mar 25 21:36:29 2026] R1:5, R2:3, EMER:0 -> GREEN:1
[Wed Mar 25 21:36:30 2026] R1:5, R2:3, EMER:2 -> GREEN:2
[Wed Mar 25 21:36:31 2026] R1:5, R2:3, EMER:2 -> GREEN:2
[Wed Mar 25 21:36:32 2026] R1:5, R2:3, EMER:2 -> GREEN:2
[Wed Mar 25 21:36:32 2026] R1:5, R2:3, EMER:2 -> GREEN:2
[Wed Mar 25 21:36:33 2026] R1:5, R2:3, EMER:2 -> GREEN:2
[Wed Mar 25 21:36:34 2026] R1:5, R2:3, EMER:2 -> GREEN:2
[Wed Mar 25 21:36:35 2026] R1:5, R2:3, EMER:2 -> GREEN:2
[Wed Mar 25 21:36:36 2026] R1:5, R2:3, EMER:2 -> GREEN:2
[Wed Mar 25 21:36:37 2026] R1:5, R2:3, EMER:3 -> GREEN:1
[Wed Mar 25 21:36:38 2026] R1:5, R2:3, EMER:0 -> GREEN:1
[Wed Mar 25 21:36:39 2026] R1:5, R2:3, EMER:0 -> GREEN:1
[Wed Mar 25 21:36:40 2026] R1:5, R2:3, EMER:0 -> GREEN:1
[Wed Mar 25 21:36:43 2026] R1:5, R2:3, EMER:0 -> GREEN:1
